TradeID,Timestamp,Symbol,Timeframe,Direction,Score,Recommendation,EntryPrice,StopLoss,TakeProfit,RRRatio,ADX_14,ADX_20,ATR_Norm,MA20_Slope,MA50_Slope,MA200_Slope,TrendDuration,HTF_Aligned,RSI_14,MACD_Main,MACD_Signal,Stoch_K,Stoch_D,ROC,Williams_R,ATR_14,HistVol_20,BB_Width,BB_Position,TR_Ratio,Dist_HH50,Dist_LL50,BodyRatio,ConsecBars,PriceMA_Dist,Session,Spread,Hour,DayOfWeek,VolRegime,Executed,ActualEntry,EntryTime,MFE,MAE,ExitPrice,ExitTime,ProfitPips,ProfitCurrency,Outcome,ExitReason
20260105_224618_921,2026.01.05 22:46:30,XAGUSD,16385,0,0.702070,2,76.581000,76.081000,77.581000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_224644_890,2026.01.05 22:46:58,XAGUSD,16385,1,0.568502,1,76.636000,77.136000,75.636000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_224729_859,2026.01.05 22:47:59,EURUSD,16385,0,0.624912,2,1.172000,0.000000,0.000000,0.000,35.192009,29.108969,0.001029,0.090081,0.014396,-0.010363,99.000000,1.000000,58.495747,0.000254,-0.000531,85.290764,91.868961,0.344993,-10.157368,0.001206,0.071627,0.000000,0.500000,0.580225,-0.367194,0.538644,0.428571,-2.000000,0.056395,0.000000,2.100000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_224826_328,2026.01.05 22:48:39,XAGUSD,16385,0,0.702070,2,76.581000,76.081000,77.581000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_224853_296,2026.01.05 22:49:06,XAGUSD,16385,1,0.568502,1,76.636000,77.136000,75.636000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_224937_812,2026.01.05 22:50:09,EURUSD,16385,0,0.624912,2,1.171950,0.000000,0.000000,0.000,35.192009,29.108969,0.001029,0.090081,0.014396,-0.010363,99.000000,1.000000,58.495747,0.000254,-0.000531,85.290764,91.868961,0.344993,-10.157368,0.001206,0.071627,0.000000,0.500000,0.580225,-0.367194,0.538644,0.428571,-2.000000,0.056395,0.000000,2.200000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225038_468,2026.01.05 22:51:06,XAGUSD,15,0,0.630411,2,76.581000,0.000000,0.000000,0.000,18.775971,15.307163,0.005098,-0.016909,0.056215,0.282859,86.000000,1.000000,53.997432,0.016839,0.006599,90.419636,78.143018,0.771753,-22.155689,0.390429,0.364322,0.000000,0.500000,0.676180,-1.734987,2.602714,0.856061,1.000000,0.591830,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225120_140,2026.01.05 22:51:33,XAGUSD,16385,0,0.687070,2,76.581000,0.000000,0.000000,0.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225533_781,2026.01.05 22:55:46,XAGUSD,16385,0,0.702070,2,76.581000,76.081000,77.581000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225600_734,2026.01.05 22:56:13,XAGUSD,16385,1,0.568502,1,76.636000,77.136000,75.636000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225645_093,2026.01.05 22:57:17,EURUSD,16385,0,0.624912,2,1.171930,0.000000,0.000000,0.000,35.192009,29.108969,0.001029,0.090081,0.014396,-0.010363,99.000000,1.000000,58.495747,0.000254,-0.000531,85.290764,91.868961,0.344993,-10.157368,0.001206,0.071627,0.000000,0.500000,0.580225,-0.367194,0.538644,0.428571,-2.000000,0.056395,0.000000,2.200000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225746_968,2026.01.05 22:58:13,XAGUSD,15,0,0.630411,2,76.581000,0.000000,0.000000,0.000,18.775971,15.307163,0.005098,-0.016909,0.056215,0.282859,86.000000,1.000000,53.997432,0.016839,0.006599,90.419636,78.143018,0.771753,-22.155689,0.390429,0.364322,0.000000,0.500000,0.676180,-1.734987,2.602714,0.856061,1.000000,0.591830,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225827_562,2026.01.05 22:58:40,XAGUSD,16385,0,0.687070,2,76.581000,0.000000,0.000000,0.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
20260105_225930_812,2026.01.05 22:59:41,XAGUSD,16385,0,0.702070,2,76.581000,76.081000,77.581000,2.000,28.580635,27.260938,0.010432,0.615847,0.499442,0.605402,20.000000,1.000000,57.693677,0.661498,0.693515,29.388415,42.229166,0.519864,-51.184690,0.798929,0.610773,0.000000,0.500000,0.958784,-2.163918,8.761385,0.110966,1.000000,1.904458,0.000000,5.500000,22.000000,1.000000,1.000000,,,,,,,,,,,
